date,values
2004-1-1 8:00,8.44
2004-1-1 9:00,29.31
2004-1-1 10:00,19.47
2004-1-1 11:00,14.44
2004-1-1 12:00,13.07
2004-1-1 13:00,33.12
2004-1-1 14:00,73.20
2004-1-1 15:00,42.53
2004-1-1 16:00,120.83
2004-1-1 17:00,22.78
2004-1-1 18:00,56.72
2004-1-1 19:00,3.44
2004-1-2 8:00,34.28
2004-1-2 9:00,45.71
2004-1-2 10:00,59.31
2004-1-2 11:00,36.17
2004-1-2 12:00,90.89
2004-1-2 13:00,55.78
2004-1-2 14:00,72.17
2004-1-2 15:00,129.97
2004-1-2 16:00,84.97
2004-1-2 17:00,6.28
2004-1-2 18:00,69.17
2004-1-2 19:00,8.13
2004-1-3 8:00,11.64
2004-1-3 9:00,1.32
2004-1-3 10:00,27.09
2004-1-3 11:00,108.26
2004-1-3 12:00,37.41
2004-1-3 13:00,66.64
2004-1-3 14:00,20.93
2004-1-3 15:00,86.46
2004-1-3 16:00,45.30
2004-1-3 17:00,87.40
2004-1-3 18:00,13.86
2004-1-3 19:00,23.79
2004-1-4 8:00,18.57
2004-1-4 9:00,3.72
2004-1-4 10:00,25.39
2004-1-4 11:00,116.61
2004-1-4 12:00,23.02
2004-1-4 13:00,68.73
2004-1-4 14:00,88.02
2004-1-4 15:00,72.57
2004-1-4 16:00,68.91
2004-1-4 17:00,32.06
2004-1-4 18:00,66.90
2004-1-4 19:00,14.28
2004-1-5 8:00,68.35
2004-1-5 9:00,57.01
2004-1-5 10:00,86.53
2004-1-5 11:00,12.99
2004-1-5 12:00,170.81
2004-1-5 13:00,121.32
2004-1-5 14:00,49.36
2004-1-5 15:00,121.64
2004-1-5 16:00,134.03
2004-1-5 17:00,93.30
2004-1-5 18:00,8.44
2004-1-5 19:00,60.66
2004-1-6 8:00,32.05
2004-1-6 9:00,108.45
2004-1-6 10:00,55.97
2004-1-6 11:00,170.06
2004-1-6 12:00,70.48
2004-1-6 13:00,154.81
2004-1-6 14:00,94.24
2004-1-6 15:00,11.20
2004-1-6 16:00,83.25
2004-1-6 17:00,174.97
2004-1-6 18:00,146.50
2004-1-6 19:00,64.71
2004-1-7 8:00,16.16
2004-1-7 9:00,20.61
2004-1-7 10:00,7.84
2004-1-7 11:00,66.89
2004-1-7 12:00,31.27
2004-1-7 13:00,53.76
2004-1-7 14:00,49.40
2004-1-7 15:00,34.32
2004-1-7 16:00,33.28
2004-1-7 17:00,14.20
2004-1-7 18:00,48.09
2004-1-7 19:00,31.84
2004-1-8 8:00,15.11
2004-1-8 9:00,5.45
2004-1-8 10:00,103.58
2004-1-8 11:00,122.62
2004-1-8 12:00,39.12
2004-1-8 13:00,48.18
2004-1-8 14:00,33.78
2004-1-8 15:00,19.65
2004-1-8 16:00,142.26
2004-1-8 17:00,103.06
2004-1-8 18:00,89.68
2004-1-8 19:00,37.87
2004-1-9 8:00,8.27
2004-1-9 9:00,35.18
2004-1-9 10:00,107.56
2004-1-9 11:00,42.67
2004-1-9 12:00,54.79
2004-1-9 13:00,13.17
2004-1-9 14:00,74.15
2004-1-9 15:00,68.64
2004-1-9 16:00,100.70
2004-1-9 17:00,59.21
2004-1-9 18:00,95.98
2004-1-9 19:00,26.30
2004-1-10 8:00,12.61
2004-1-10 9:00,60.08
2004-1-10 10:00,47.83
2004-1-10 11:00,134.91
2004-1-10 12:00,42.41
2004-1-10 13:00,12.47
2004-1-10 14:00,60.32
2004-1-10 15:00,115.99
2004-1-10 16:00,122.83
2004-1-10 17:00,56.46
2004-1-10 18:00,66.66
2004-1-10 19:00,13.62
2004-1-11 8:00,49.48
2004-1-11 9:00,10.20
2004-1-11 10:00,110.07
2004-1-11 11:00,150.59
2004-1-11 12:00,104.33
2004-1-11 13:00,122.03
2004-1-11 14:00,24.21
2004-1-11 15:00,75.57
2004-1-11 16:00,60.33
2004-1-11 17:00,28.88
2004-1-11 18:00,23.18
2004-1-11 19:00,28.22
2004-1-12 8:00,60.55
2004-1-12 9:00,53.38
2004-1-12 10:00,78.52
2004-1-12 11:00,111.33
2004-1-12 12:00,208.41
2004-1-12 13:00,179.00
2004-1-12 14:00,59.61
2004-1-12 15:00,42.19
2004-1-12 16:00,128.54
2004-1-12 17:00,50.66
2004-1-12 18:00,107.78
2004-1-12 19:00,107.41
2004-1-13 8:00,6.67
2004-1-13 9:00,44.08
2004-1-13 10:00,134.13
2004-1-13 11:00,208.50
2004-1-13 12:00,33.94
2004-1-13 13:00,76.58
2004-1-13 14:00,141.74
2004-1-13 15:00,246.85
2004-1-13 16:00,261.76
2004-1-13 17:00,108.42
2004-1-13 18:00,137.66
2004-1-13 19:00,2.18
2004-1-14 8:00,34.71
2004-1-14 9:00,45.60
2004-1-14 10:00,61.41
2004-1-14 11:00,75.86
2004-1-14 12:00,69.75
2004-1-14 13:00,33.04
2004-1-14 14:00,22.22
2004-1-14 15:00,18.18
2004-1-14 16:00,32.29
2004-1-14 17:00,70.37
2004-1-14 18:00,41.47
2004-1-14 19:00,19.51
2004-1-15 8:00,23.77
2004-1-15 9:00,28.48
2004-1-15 10:00,40.00
2004-1-15 11:00,14.69
2004-1-15 12:00,69.89
2004-1-15 13:00,45.48
2004-1-15 14:00,46.04
2004-1-15 15:00,35.40
2004-1-15 16:00,68.65
2004-1-15 17:00,49.23
2004-1-15 18:00,33.87
2004-1-15 19:00,19.75
2004-1-16 8:00,9.21
2004-1-16 9:00,53.66
2004-1-16 10:00,67.27
2004-1-16 11:00,6.40
2004-1-16 12:00,17.82
2004-1-16 13:00,23.37
2004-1-16 14:00,2.51
2004-1-16 15:00,47.73
2004-1-16 16:00,92.54
2004-1-16 17:00,13.25
2004-1-16 18:00,2.56
2004-1-16 19:00,9.00
2004-1-17 8:00,21.84
2004-1-17 9:00,52.10
2004-1-17 10:00,43.31
2004-1-17 11:00,11.59
2004-1-17 12:00,60.44
2004-1-17 13:00,5.50
2004-1-17 14:00,42.51
2004-1-17 15:00,66.84
2004-1-17 16:00,23.44
2004-1-17 17:00,30.61
2004-1-17 18:00,53.98
2004-1-17 19:00,34.32
2004-1-18 8:00,11.48
2004-1-18 9:00,11.55
2004-1-18 10:00,20.41
2004-1-18 11:00,1.10
2004-1-18 12:00,65.91
2004-1-18 13:00,8.72
2004-1-18 14:00,60.57
2004-1-18 15:00,89.19
2004-1-18 16:00,24.88
2004-1-18 17:00,54.43
2004-1-18 18:00,47.61
2004-1-18 19:00,15.48
2004-1-19 8:00,6.39
2004-1-19 9:00,71.51
2004-1-19 10:00,102.19
2004-1-19 11:00,93.39
2004-1-19 12:00,146.46
2004-1-19 13:00,111.43
2004-1-19 14:00,100.62
2004-1-19 15:00,149.64
2004-1-19 16:00,104.73
2004-1-19 17:00,104.13
2004-1-19 18:00,18.08
2004-1-19 19:00,65.73
2004-1-20 8:00,37.71
2004-1-20 9:00,22.23
2004-1-20 10:00,108.57
2004-1-20 11:00,209.65
2004-1-20 12:00,18.01
2004-1-20 13:00,75.16
2004-1-20 14:00,96.27
2004-1-20 15:00,25.59
2004-1-20 16:00,61.88
2004-1-20 17:00,34.88
2004-1-20 18:00,85.93
2004-1-20 19:00,60.29
2004-1-21 8:00,22.52
2004-1-21 9:00,30.26
2004-1-21 10:00,26.47
2004-1-21 11:00,19.01
2004-1-21 12:00,9.42
2004-1-21 13:00,37.70
2004-1-21 14:00,16.73
2004-1-21 15:00,54.07
2004-1-21 16:00,7.29
2004-1-21 17:00,48.63
2004-1-21 18:00,30.97
2004-1-21 19:00,13.71
2004-1-22 8:00,3.07
2004-1-22 9:00,23.79
2004-1-22 10:00,13.24
2004-1-22 11:00,64.52
2004-1-22 12:00,25.51
2004-1-22 13:00,35.65
2004-1-22 14:00,43.90
2004-1-22 15:00,63.54
2004-1-22 16:00,66.65
2004-1-22 17:00,5.90
2004-1-22 18:00,44.52
2004-1-22 19:00,17.70
2004-1-23 8:00,19.03
2004-1-23 9:00,3.73
2004-1-23 10:00,41.24
2004-1-23 11:00,32.99
2004-1-23 12:00,30.78
2004-1-23 13:00,25.21
2004-1-23 14:00,41.57
2004-1-23 15:00,62.92
2004-1-23 16:00,18.44
2004-1-23 17:00,6.49
2004-1-23 18:00,41.75
2004-1-23 19:00,18.97
2004-1-24 8:00,20.50
2004-1-24 9:00,15.27
2004-1-24 10:00,48.97
2004-1-24 11:00,30.86
2004-1-24 12:00,18.45
2004-1-24 13:00,24.42
2004-1-24 14:00,43.98
2004-1-24 15:00,63.33
2004-1-24 16:00,10.35
2004-1-24 17:00,12.31
2004-1-24 18:00,16.00
2004-1-24 19:00,25.02
2004-1-25 8:00,13.73
2004-1-25 9:00,17.48
2004-1-25 10:00,44.96
2004-1-25 11:00,1.16
2004-1-25 12:00,79.33
2004-1-25 13:00,41.85
2004-1-25 14:00,5.05
2004-1-25 15:00,68.29
2004-1-25 16:00,83.01
2004-1-25 17:00,35.82
2004-1-25 18:00,5.77
2004-1-25 19:00,10.65
2004-1-26 8:00,28.87
2004-1-26 9:00,28.83
2004-1-26 10:00,18.14
2004-1-26 11:00,130.34
2004-1-26 12:00,94.46
2004-1-26 13:00,54.85
2004-1-26 14:00,25.54
2004-1-26 15:00,52.43
2004-1-26 16:00,110.86
2004-1-26 17:00,85.19
2004-1-26 18:00,31.13
2004-1-26 19:00,32.37
2004-1-27 8:00,6.29
2004-1-27 9:00,67.57
2004-1-27 10:00,24.79
2004-1-27 11:00,101.75
2004-1-27 12:00,66.82
2004-1-27 13:00,38.93
2004-1-27 14:00,17.18
2004-1-27 15:00,21.18
2004-1-27 16:00,91.34
2004-1-27 17:00,71.93
2004-1-27 18:00,17.43
2004-1-27 19:00,48.13
2004-1-28 8:00,2.47
2004-1-28 9:00,3.43
2004-1-28 10:00,20.50
2004-1-28 11:00,50.32
2004-1-28 12:00,49.78
2004-1-28 13:00,31.87
